№,名前,英語名,HP,攻撃,防御,特攻,特防,素早,合計種族値,タイプ1,タイプ2,特性1特性2(隠し特性),高さ,重さ,捕獲率,性別,経験値,初期なつき度,努力値,タマゴ,孵化,成長,雄率
781,ダダリン,Dhelmise,70,131,100,86,90,40,517,ゴースト,くさ,はがねつかい,3.9,210.0,25,不明,181,70,攻撃+2,鉱物,6630,100万,
782,ジャラコ,Jangmo-o,45,55,65,45,45,45,300,ドラゴン,,"ぼうだん
ぼうおん
(ぼうじん)",0.6,29.7,45,1:1,60,70,防御+1,ドラゴン,10455,125万,0.5
783,ジャランゴ,Hakamo-o,55,75,90,65,70,65,420,ドラゴン,かくとう,"ぼうだん
ぼうおん
(ぼうじん)",1.2,47.0,45,1:1,147,70,防御+2,ドラゴン,10455,125万,0.5
784,ジャラランガ,Kommo-o,75,110,125,100,105,85,600,ドラゴン,かくとう,"ぼうだん
ぼうおん
(ぼうじん)",1.6,78.2,45,1:1,270,70,防御+3,ドラゴン,10455,125万,0.5
785,カプ・コケコ,Tapu Koko,70,115,85,95,75,130,570,でんき,フェアリー,"エレキメイカー
(テレパシー)",1.8,20.5,3,不明,257,70,素早+3,未発見,4080,125万,
786,カプ・テテフ,Tapu Lele,70,85,75,130,115,95,570,エスパー,フェアリー,"サイコメイカー
(テレパシー)",1.2,18.6,3,不明,257,70,特攻+3,未発見,4080,125万,
787,カプ・ブルル,Tapu Bulu,70,130,115,85,95,75,570,くさ,フェアリー,"グラスメイカー
(テレパシー)",1.9,45.5,3,不明,257,70,攻撃+3,未発見,4080,125万,
788,カプ・レヒレ,Tapu Fini,70,75,115,95,130,85,570,みず,フェアリー,"ミストメイカー
(テレパシー)",1.3,21.2,3,不明,257,70,特防+3,未発見,4080,125万,
789,コスモッグ,Cosmog,43,29,31,29,31,37,200,エスパー,,てんねん,0.2,0.1,45,不明,40,0,HP+1,未発見,30855,125万,
790,コスモウム,Cosmoem,43,29,131,29,131,37,400,エスパー,,がんじょう,0.1,999.9,45,不明,140,0,"防御+1
特防+1",未発見,30855,125万,
791,ソルガレオ,Solgaleo,137,137,107,113,89,97,680,エスパー,はがね,メタルプロテクト,3.4,230.0,45,不明,306,0,攻撃+3,未発見,30855,125万,
792,ルナアーラ,Lunala,137,113,89,137,107,97,680,エスパー,ゴースト,ファントムガード,4.0,120.0,45,不明,306,0,特攻+3,未発見,30855,125万,
793,ウツロイド,Nihilegos,109,53,47,127,131,103,570,いわ,どく,ビーストブースト,1.2,55.5,45,不明,257,0,特防+3,未発見,30855,125万,
794,マッシブーン,Buzzwole,107,139,139,53,53,79,570,むし,かくとう,ビーストブースト,2.4,333.6,45,不明,257,0,"攻撃+1
防御+2",未発見,30855,125万,
795,フェローチェ,Pheromosa,71,137,37,137,37,151,570,むし,かくとう,ビーストブースト,1.8,25.0,45,不明,257,0,素早+3,未発見,30855,125万,
796,デンジュモク,Xurkitree,83,89,71,173,71,83,570,でんき,,ビーストブースト,3.8,100.0,45,不明,257,0,特攻+3,未発見,30855,125万,
797,テッカグヤ,Celesteela,97,101,103,107,101,61,570,はがね,ひこう,ビーストブースト,9.2,999.9,45,不明,257,0,"攻撃+1
防御+1
特攻+1",未発見,30855,125万,
798,カミツルギ,Kartana,59,181,131,59,31,109,570,くさ,はがね,ビーストブースト,0.3,0.1,45,不明,257,0,攻撃+3,未発見,30855,125万,
799,アクジキング,Guzzlord,223,101,53,97,53,43,570,あく,ドラゴン,ビーストブースト,5.5,888.0,45,不明,257,0,HP+3,未発見,30855,125万,
800,ネクロズマ,Necrozma,97,107,101,127,89,79,600,エスパー,,プリズムアーマー,2.4,230.0,255,不明,270,0,"攻撃+1
特攻+2",未発見,30855,125万,
800-1,ネクロズマ日食,Necrozma,97,157,127,113,109,77,680,エスパー,はがね,プリズムアーマー,3.8,460.0,255,不明,306,0,攻撃+3,未発見,30855,125万,
800-2,ネクロズマ月食,Necrozma,97,113,109,157,127,77,680,エスパー,ゴースト,プリズムアーマー,4.2,350.0,255,不明,306,0,特攻+3,未発見,30855,125万,
800-3,ネクロズマU,Necrozma,97,167,97,167,97,129,754,エスパー,ドラゴン,ブレインフォース,7.5,230.0,255,不明,339,0,"攻撃+1
特攻+1
素早+1",未発見,30855,125万,
801,マギアナ,Magearna,80,95,115,130,115,65,600,はがね,フェアリー,ソウルハート,1.0,80.5,3,不明,120,0,特攻+3,未発見,30855,125万,
801-1,マギアナ500年前,Magearna O,80,95,115,130,115,65,600,はがね,フェアリー,ソウルハート,1.0,80.5,3,不明,120,0,特攻+3,未発見,30855,125万,
802,マーシャドー,Marshadow,90,125,80,90,90,125,600,かくとう,ゴースト,テクニシャン,0.7,22.2,3,不明,120,0,"攻撃+2
素早+1",未発見,30855,125万,
803,ベベノム,Poipole,67,73,67,73,67,73,420,どく,,ビーストブースト,0.6,1.8,45,不明,189,0,素早+1,未発見,30855,125万,
804,アーゴヨン,Naganadel,73,73,73,127,73,121,540,どく,ドラゴン,ビーストブースト,3.6,150.0,45,不明,243,0,特攻+3,未発見,30855,125万,
805,ツンデツンデ,Stakataka,61,131,211,53,101,13,570,いわ,はがね,ビーストブースト,5.5,820.0,30,不明,257,0,防御+3,未発見,30855,125万,
806,ズガドーン,Blacephalon,53,127,53,151,79,107,570,ほのお,ゴースト,ビーストブースト,1.8,13.0,30,不明,257,0,特攻+3,未発見,30855,125万,
807,ゼラオラ,Zeraora,88,112,75,102,80,143,600,でんき,,ちくでん,1.5,44.5,3,不明,270,0,素早+3,未発見,30855,125万,
